descripcion	Year	Engine HP	Engine Cylinders	Number of Doors	highway MPG	city mpg	Popularity	MSRP
AcuraCL	2002.3333333333333	236.66666666666666	6	2	26.77777777777778	17	204	29818.88888888889
AcuraILX	2016.125	191.4375	4	4	35.125	24.625	204	30712.5
AcuraILX Hybrid	2014	111	4	4	38	39	204	31750
AcuraIntegra	2000.2083333333333	152.08333333333334	4	2.9166666666666665	28.166666666666668	21.833333333333332	204	11768.583333333334
AcuraLegend	1994.0625	215	6	3.25	23.1875	16	204	2143.5
AcuraMDX	2016.0588235294117	290	6	4	26.735294117647058	18.852941176470587	204	50332.05882352941
AcuraNSX	2007	331.4	6	2	22	17	204	102400
AcuraRDX	2016.25	278	6	4	27.916666666666668	19.5	204	39232.5
AcuraRL	2011	300	6	4	23.333333333333332	16.666666666666668	204	51340
AcuraRLX	2015.75	321.1666666666667	6	4	31	21.333333333333332	204	56491.666666666664
AcuraRSX	2005	167.4	4	2	30.266666666666666	22.466666666666665	204	21689
AcuraSLX	1997.75	202.5	6	4	17.5	13	204	2658.75
AcuraTL	2013.0434782608695	293.04347826086956	6	4	27.304347826086957	18.82608695652174	204	40876.739130434784
AcuraTLX	2016	266	5.428571428571429	4	33.42857142857143	21.857142857142858	204	38730
AcuraTSX	2012.9375	220.75	4.5	4	29.875	21.0625	204	33284.0625
AcuraTSX Sport Wagon	2013	201	4	4	30	22	204	33560
AcuraVigor	1993	176	5	4	24	18	204	2000
AcuraZDX	2011.7142857142858	300	6	4	23	16	204	51062.857142857145
Alfa Romeo4C	2015.4	237	4	2	34	24	113	61600
Aston MartinDB7	2003	423.75	12	2	16.75	10	259	151550
Aston MartinDB9	2014.25	510	12	2	19	13	259	196522.5
Aston MartinDB9 GT	2016	540	12	2	19	13	259	215602.33333333334
Aston MartinDBS	2011.25	510	12	2	17.5	11.5	259	281573
Aston MartinRapide	2011.25	470	12	4	19	13	259	210122.5
Aston MartinRapide S	2015	551.3333333333334	12	4	21	13.666666666666666	259	202748.33333333334
Aston MartinV12 Vanquish	2005	490	12	2	16.5	10.25	259	245880
Aston MartinV12 Vantage	2011.6666666666667	510	12	2	17	11	259	187565
Aston MartinV12 Vantage S	2015.6666666666667	565	12	2	18	12	259	188095
Aston MartinV8 Vantage	2015.125	428.75	8	2	20	13.5	259	129535
Aston MartinVanquish	2015.25	567.25	12	2	20.5	13	259	297083.75
Aston MartinVirage	2012	490	12	2	18	13	259	215795
Audi100	1993	172	6	4	22.266666666666666	16.466666666666665	3105	2000
Audi200	1990.5	180.33333333333334	5	4	21.5	15.666666666666666	3105	2000
Audi80	1991	126.33333333333333	4.833333333333333	4	23.666666666666668	17.166666666666668	3105	2000
Audi90	1994	172	6	4	23.22222222222222	17.22222222222222	3105	2000
AudiA3	2015.936170212766	190.3404255319149	4	3.148936170212766	35.02127659574468	25.127659574468087	3105	38652.12765957447
AudiA4	2016.04	225.36	4	4	32.28	23.52	3105	39752
AudiA4 allroad	2017	252	4	4	28	23	3105	47466.666666666664
AudiA5	2016.3333333333333	220	4	2	28.77777777777778	20.333333333333332	3105	44300
AudiA6	2015.9565217391305	267.30434782608694	4.956521739130435	4	46.34782608695652	22.304347826086957	3105	54673.913043478264
AudiA7	2015.8	291.2	6	4	32.3	21.5	3105	69895
AudiA8	2016.3333333333333	384.3333333333333	7.666666666666667	4	28.833333333333332	18.5	3105	94850
AudiCabriolet	1997	172	6	2	22	17	3105	2868.3333333333335
