;Year;Engine HP;Engine Cylinders;Number of Doors;highway MPG;city mpg;Popularity;MSRP
AcuraCL;2002.3333333333333;236.66666666666666;6.0;2.0;26.77777777777778;17.0;204.0;29818.88888888889
AcuraILX;2016.125;191.4375;4.0;4.0;35.125;24.625;204.0;30712.5
AcuraILX Hybrid;2014.0;111.0;4.0;4.0;38.0;39.0;204.0;31750.0
AcuraIntegra;2000.2083333333333;152.08333333333334;4.0;2.9166666666666665;28.166666666666668;21.833333333333332;204.0;11768.583333333334
AcuraLegend;1994.0625;215.0;6.0;3.25;23.1875;16.0;204.0;2143.5
AcuraMDX;2016.0588235294117;290.0;6.0;4.0;26.735294117647058;18.852941176470587;204.0;50332.05882352941
AcuraNSX;2007.0;331.4;6.0;2.0;22.0;17.0;204.0;102400.0
AcuraRDX;2016.25;278.0;6.0;4.0;27.916666666666668;19.5;204.0;39232.5
AcuraRL;2011.0;300.0;6.0;4.0;23.333333333333332;16.666666666666668;204.0;51340.0
AcuraRLX;2015.75;321.1666666666667;6.0;4.0;31.0;21.333333333333332;204.0;56491.666666666664
AcuraRSX;2005.0;167.4;4.0;2.0;30.266666666666666;22.466666666666665;204.0;21689.0
AcuraSLX;1997.75;202.5;6.0;4.0;17.5;13.0;204.0;2658.75
AcuraTL;2013.0434782608695;293.04347826086956;6.0;4.0;27.304347826086957;18.82608695652174;204.0;40876.739130434784
AcuraTLX;2016.0;266.0;5.428571428571429;4.0;33.42857142857143;21.857142857142858;204.0;38730.0
AcuraTSX;2012.9375;220.75;4.5;4.0;29.875;21.0625;204.0;33284.0625
AcuraTSX Sport Wagon;2013.0;201.0;4.0;4.0;30.0;22.0;204.0;33560.0
AcuraVigor;1993.0;176.0;5.0;4.0;24.0;18.0;204.0;2000.0
AcuraZDX;2011.7142857142858;300.0;6.0;4.0;23.0;16.0;204.0;51062.857142857145
Alfa Romeo4C;2015.4;237.0;4.0;2.0;34.0;24.0;113.0;61600.0
Aston MartinDB7;2003.0;423.75;12.0;2.0;16.75;10.0;259.0;151550.0
Aston MartinDB9;2014.25;510.0;12.0;2.0;19.0;13.0;259.0;196522.5
Aston MartinDB9 GT;2016.0;540.0;12.0;2.0;19.0;13.0;259.0;215602.33333333334
Aston MartinDBS;2011.25;510.0;12.0;2.0;17.5;11.5;259.0;281573.0
Aston MartinRapide;2011.25;470.0;12.0;4.0;19.0;13.0;259.0;210122.5
Aston MartinRapide S;2015.0;551.3333333333334;12.0;4.0;21.0;13.666666666666666;259.0;202748.33333333334
Aston MartinV12 Vanquish;2005.0;490.0;12.0;2.0;16.5;10.25;259.0;245880.0
Aston MartinV12 Vantage;2011.6666666666667;510.0;12.0;2.0;17.0;11.0;259.0;187565.0
Aston MartinV12 Vantage S;2015.6666666666667;565.0;12.0;2.0;18.0;12.0;259.0;188095.0
Aston MartinV8 Vantage;2015.125;428.75;8.0;2.0;20.0;13.5;259.0;129535.0
Aston MartinVanquish;2015.25;567.25;12.0;2.0;20.5;13.0;259.0;297083.75
Aston MartinVirage;2012.0;490.0;12.0;2.0;18.0;13.0;259.0;215795.0
Audi100;1993.0;172.0;6.0;4.0;22.266666666666666;16.466666666666665;3105.0;2000.0
Audi200;1990.5;180.33333333333334;5.0;4.0;21.5;15.666666666666666;3105.0;2000.0
Audi80;1991.0;126.33333333333333;4.833333333333333;4.0;23.666666666666668;17.166666666666668;3105.0;2000.0
Audi90;1994.0;172.0;6.0;4.0;23.22222222222222;17.22222222222222;3105.0;2000.0
AudiA3;2015.936170212766;190.3404255319149;4.0;3.148936170212766;35.02127659574468;25.127659574468087;3105.0;38652.12765957447
AudiA4;2016.04;225.36;4.0;4.0;32.28;23.52;3105.0;39752.0
AudiA4 allroad;2017.0;252.0;4.0;4.0;28.0;23.0;3105.0;47466.666666666664
AudiA5;2016.3333333333333;220.0;4.0;2.0;28.77777777777778;20.333333333333332;3105.0;44300.0
AudiA6;2015.9565217391305;267.30434782608694;4.956521739130435;4.0;46.34782608695652;22.304347826086957;3105.0;54673.913043478264
AudiA7;2015.8;291.2;6.0;4.0;32.3;21.5;3105.0;69895.0
AudiA8;2016.3333333333333;384.3333333333333;7.666666666666667;4.0;28.833333333333332;18.5;3105.0;94850.0
AudiCabriolet;1997.0;172.0;6.0;2.0;22.0;17.0;3105.0;2868.3333333333335
AudiCoupe;1990.5;164.0;5.0;2.0;22.0;15.5;3105.0;2000.0
AudiQ3;2016.142857142857;200.0;4.0;4.0;28.285714285714285;20.0;3105.0;36292.857142857145
AudiQ5;2015.85;244.1;5.2;4.0;28.4;21.0;3105.0;48255.0
AudiQ7;2015.0;281.6666666666667;6.0;4.0;25.0;17.8;3105.0;57373.333333333336
AudiR8;2014.76;506.4;9.36;2.0;21.0;12.64;3105.0;158819.6
AudiRS 4;2007.6666666666667;420.0;8.0;3.3333333333333335;19.666666666666668;12.666666666666666;3105.0;71603.33333333333
AudiRS 5;2014.0;450.0;8.0;2.0;22.666666666666668;16.0;3105.0;74066.66666666667
AudiRS 6;2003.0;450.0;8.0;4.0;20.0;14.0;3105.0;82700.0
AudiRS 7;2016.0;560.0;8.0;4.0;25.666666666666668;15.333333333333334;3105.0;108700.0
AudiS3;2016.0;292.0;4.0;4.0;30.0;22.333333333333332;3105.0;45091.666666666664
AudiS4;2015.0;333.0;6.0;4.0;27.0;17.5;3105.0;52150.0
AudiS5;2016.3333333333333;333.0;6.0;2.0;26.666666666666668;17.666666666666668;3105.0;58183.333333333336
AudiS6;2016.2;444.0;8.0;4.0;27.0;17.8;3105.0;73340.0
AudiS7;2016.25;442.5;8.0;4.0;27.0;17.0;3105.0;82050.0
AudiS8;2016.0;562.5;8.0;4.0;25.25;15.75;3105.0;115150.0
AudiSQ5;2016.0;354.0;6.0;4.0;24.0;17.0;3105.0;56850.0
AudiTT;2016.0;217.0;4.0;2.0;30.333333333333332;22.666666666666668;3105.0;43916.666666666664
AudiTT RS;2012.5;360.0;5.0;2.0;25.0;18.0;3105.0;57025.0
AudiTTS;2015.75;278.5;4.0;2.0;29.0;22.5;3105.0;51200.0
AudiV8;1993.0;276.0;8.0;4.0;18.0;13.0;3105.0;2129.3333333333335
Audiallroad;2014.875;220.0;4.0;4.0;27.625;20.625;3105.0;44675.0
Audiallroad quattro;2004.125;262.5;6.5;4.0;20.125;14.375;3105.0;41943.75
BMW1 Series;2012.25;267.5;6.0;2.0;27.625;18.75;3916.0;37853.125
BMW1 Series M;2011.0;335.0;6.0;2.0;26.0;19.0;3916.0;46135.0
BMW2 Series;2016.4705882352941;283.05882352941177;4.9411764705882355;2.0;32.705882352941174;21.823529411764707;3916.0;41697.05882352941
BMW3 Series;2015.9117647058824;230.0;4.411764705882353;4.0;35.73529411764706;24.676470588235293;3916.0;40897.05882352941
BMW3 Series Gran Turismo;2015.857142857143;269.7142857142857;4.857142857142857;4.0;31.857142857142858;21.285714285714285;3916.0;45250.0
BMW4 Series;2015.8620689655172;268.6896551724138;4.827586206896552;2.0;32.3448275862069;21.517241379310345;3916.0;48984.48275862069
BMW4 Series Gran Coupe;2015.857142857143;269.7142857142857;4.857142857142857;4.0;32.57142857142857;21.714285714285715;3916.0;44750.0
BMW5 Series;2015.5;310.125;6.0;4.0;31.5625;21.25;3916.0;58306.25
BMW5 Series Gran Turismo;2015.9;358.0;6.8;4.0;25.8;17.4;3916.0;65740.0
BMW6 Series;2016.0;380.0;7.0;2.0;27.083333333333332;18.166666666666668;3916.0;87933.33333333333
BMW6 Series Gran Coupe;2016.0;380.0;7.0;4.0;26.916666666666668;18.0;3916.0;86383.33333333333
BMW7 Series;2015.6875;390.9375;7.375;4.0;26.375;17.8125;3916.0;90662.5
BMW8 Series;1995.857142857143;312.0;10.285714285714286;2.0;19.285714285714285;12.714285714285714;3916.0;6583.0
BMWALPINA B6 Gran Coupe;2016.0;580.0;8.0;4.0;24.0;15.333333333333334;3916.0;120666.66666666667
BMWALPINA B7;2014.7777777777778;546.6666666666666;8.0;4.0;24.444444444444443;16.0;3916.0;132333.33333333334
BMWActiveHybrid 5;2015.0;335.0;6.0;4.0;30.0;23.0;3916.0;61800.0
BMWActiveHybrid 7;2014.0;345.0;6.0;4.0;30.0;22.0;3916.0;84300.0
BMWActiveHybrid X6;2010.5;480.0;8.0;4.0;19.0;17.0;3916.0;88900.0
BMWAlpina;2003.0;375.0;8.0;2.0;19.0;13.0;3916.0;136900.0
BMWM;2003.2;321.0;6.0;2.0;23.0;15.0;3916.0;47314.0
BMWM2;2016.5;365.0;6.0;2.0;26.0;18.0;3916.0;51700.0
BMWM3;2016.0;425.0;6.0;4.0;26.0;17.0;3916.0;63166.666666666664
BMWM4;2016.0;425.0;6.0;2.0;26.0;17.0;3916.0;69583.33333333333
BMWM4 GTS;2016.0;493.0;6.0;2.0;23.0;16.0;3916.0;133205.0
BMWM5;2015.0;557.3333333333334;8.0;4.0;20.0;14.0;3916.0;93533.33333333333
BMWM6;2016.0;557.3333333333334;8.0;2.0;20.333333333333332;14.166666666666666;3916.0;116150.0
BMWM6 Gran Coupe;2016.0;557.3333333333334;8.0;4.0;20.0;14.0;3916.0;116800.0
BMWX1;2015.8333333333333;244.0;4.333333333333333;4.0;31.333333333333332;21.666666666666668;3916.0;34383.333333333336
BMWX3;2016.0;240.0;4.5;4.0;29.083333333333332;22.0;3916.0;42237.5
BMWX4;2016.0;290.7142857142857;5.142857142857143;4.0;27.0;19.285714285714285;3916.0;49871.42857142857
BMWX5;2016.0;325.0;6.5;4.0;25.583333333333332;18.666666666666668;3916.0;60308.333333333336
BMWX5 M;2016.0;567.0;8.0;4.0;19.0;14.0;3916.0;98766.66666666667
BMWX6;2016.0;348.3333333333333;6.666666666666667;4.0;24.0;17.11111111111111;3916.0;66044.44444444444
BMWX6 M;2016.0;567.0;8.0;4.0;19.0;14.0;3916.0;102166.66666666667
BMWZ3;2001.0;202.66666666666666;6.0;2.0;25.22222222222222;18.11111111111111;3916.0;25358.666666666668
BMWZ4;2015.0;291.6666666666667;5.333333333333333;2.0;27.555555555555557;18.88888888888889;3916.0;57438.88888888889
